company,description,website,region,year-selected,vertical,sub-vertical,entrepreneurs,fund,financing-round,status,year-invested
TheLorry,"TheLorry is a platform to manage bulky logistics, connecting professional drivers with corporate and individual customers for their on-demand trucking and delivery needs.",http://www.thelorry.com/,Asia,2019,Smart City,Logistics Tech,"['{""name"": ""Nadhir Ashafiq"", ""url"": ""https://www.linkedin.com/in/nadhirashafiq/""}', '{""name"": ""Chee Hau Goh"", ""url"": ""https://www.linkedin.com/in/chee-hau-goh-b22782135/""}']",,,,
Think Digital Group (TDG),"TDG is a digital marketing group that provides public advertisement through insights, business acumen and technology.",http://www.thinkdigitalgroup.net/,Europe,2014,Enterprise Software & Services,AdTech & MarTech,"['{""name"": ""Odysseas Ntotsikas"", ""url"": ""https://www.linkedin.com/in/odysseasn/""}']",,,,
Thrive Farmers,Thrive Farmers is disrupting the traditional coffee and tea supply chain with an innovative revenue-sharing model that ties farmer payments to the end price paid by the customer. This grants farmers higher incomes and greater stability.,http://thrivefarmers.com/,U.S. & Canada,2019,Food & Beverage,CPG & Consumer Products,"['{""name"": ""Tom Matthesen"", ""url"": ""https://www.linkedin.com/in/tom-matthesen-3338b79/""}', '{""name"": ""Michael Jones"", ""url"": ""https://www.linkedin.com/in/michael-jones-2a25521/""}']",,,,
Tiaxa,"Tiaxa has developed proprietary technology to extend tiny “nano” credits in amounts as little as 2 cents, to provide cash to prepaid mobile phone users with insufficient account balances.",https://www.tiaxa.com/,Latin America,2008,Fintech,Lending,"['{""name"": ""Felipe Vald\\u00e9s"", ""url"": ""https://www.linkedin.com/in/felipe-valdes-48a1763""}']",,,,
Ticketea,Ticketea is a marketplace for ticketing that helps event coordinators to promote their events and sell access to them online. Ticketea was acquired by Eventbrite in 2018.,https://www.ticketea.com/,Europe,2015,Retail & Consumer Tech,Tourism & Hospitality,"['{""name"": ""Javier Andres"", ""url"": ""https://www.linkedin.com/in/javierandresmarin/""}']",,,,
TiendaMIA,"TiendaMIA provides customers and vendors with solutions to cross-border problems, including customs regulations, blacklists, local payments and shipping options.",https://tiendamia.com/,Latin America,2018,Retail & Consumer Tech,Consumer Marketplaces,"['{""name"": ""Juan Pablo Pereira"", ""url"": ""https://www.linkedin.com/in/juan-pablo-pereira-b0933434/""}', '{""name"": ""Mario Colla"", ""url"": ""https://www.linkedin.com/in/mario-colla-15866735/""}']",,,,
TiendaPet,TiendaPet is a multichannel retail operation that sells premium pet products.,http://www.tiendapet.cl/,Latin America,2017,Retail & Consumer Tech,Household & Office,"['{""name"": ""Allan Turski"", ""url"": ""https://www.linkedin.com/in/allan-turski-0908301a7/""}', '{""name"": ""Rodolfo Borzutzky"", ""url"": ""https://www.linkedin.com/in/rodolfo-borzutzky-920b2831/""}']",,,,
Tiger Technology,"Tiger Technology is a software company specializing in storage solutions for companies in the Media & Entertainment, Surveillance and Enterprise IT sectors.",https://www.tiger-technology.com/,Europe,2018,Enterprise Software & Services,Cloud Infrastructure & IT,"['{""name"": ""Alexander Lefterov"", ""url"": ""https://www.linkedin.com/in/alexander-lefterov-6308656/?originalSubdomain=bg""}']",,,,
TileDB,"TileDB is born out of the belief that Data Economics, as we currently know it, is flawed because it does not look at data holistically. The company offers a new solution to unify data management once and for all.",https://tiledb.com/,Europe,2022,Enterprise Software & Services,Cloud Infrastructure & IT,"['{""name"": ""Stavros Papadopoulos"", ""url"": ""https://www.linkedin.com/in/stavrospap/""}']",,,,
Tipti,"Tipti, which in Spanish abbreviates to “Tiempo Para Ti” (Time for You), is an online delivery platform for groceries and specialized retail products in Ecuador.",https://www.tipti.market/countries,Latin America,2022,Retail & Consumer Tech,Consumer Marketplaces,"['{""name"": ""Pierangela Sierra"", ""url"": ""https://www.linkedin.com/in/pierangelasierra/""}']",,,,
TISSINI,TISSINI is a single-level direct sales company that seeks to develop close relationships with its client base and support them through their sales process.,https://www.tissini.com,U.S. & Canada,2019,Retail & Consumer Tech,Consumer Marketplaces,"['{""name"": ""Sion Tesone"", ""url"": ""https://www.linkedin.com/in/sion-tesone-a76b5032/""}']",,,,
Todotvmedia,Todotvmedia is a specialized TV medium that produces content about the TV and entertainment industry for media leaders in Latam and the US.,https://www.todotvnews.com,Latin America,2011,Retail & Consumer Tech,Media & Entertainment,"['{""name"": ""Sebasti\\u00e1n Lateulade"", ""url"": ""https://www.linkedin.com/in/sebastian-lateulade-684a5a5/""}']",,,,
ToLife,ToLife has created an innovative system to solve inefficiencies in the Brazilian emergency room system by automating the triage process.,http://www.tolife.com.br,Latin America,2012,Healthcare,Healthcare Services,"['{""name"": ""Leonardo Lima de Carvalho"", ""url"": ""https://www.linkedin.com/in/leonardo-lima-de-carvalho-81b43925/""}']",Fund I,Series A,Status: Active,Invested: 2014
Tonik,"Tonik is the first fully digital neobank in the Philippines, offering a completely tech-enabled solution for scaling financial services. Through its proprietary app, Tonik provides customers with a full range of consumer banking products, including savings accounts, term deposits, loans, debit cards, and more.",https://tonikbank.com/,Asia,2022,Fintech,Banking,"['{""name"": ""Greg Krasnov"", ""url"": ""https://www.linkedin.com/in/gregkrasnov/""}']",,,,
Top Systems,"Top Systems offers a comprehensive bank management system for financial institutions of any size, including microfinance institutions and credit unions, and focuses on risk management and preventing money laundering. TopSystems was acquired in 2012 by the Stefanini Group.",https://topsystemscorp.com/,Latin America,2003,Fintech,Banking,"['{""name"": ""\\u00c1lvaro Dominguez"", ""url"": ""https://www.linkedin.com/in/dominguezalvaro/""}']",,,,
Torre,Torre is an online platform that automates recruiting and finding full-time and flexible work.,http://torre.co/,Latin America,2013,Education & Talent,Talent Acquisition,"['{""name"": ""Santiago Jaramillo"", ""url"": ""https://www.linkedin.com/in/aboutsantiago/""}', '{""name"": ""Alexander Torrenegra"", ""url"": ""https://www.linkedin.com/in/alextorrenegra/""}']",,,,
Touristic Investment Company (TICO),"TICO manages food & beverage projects through retail outlets, catering and food courts. Its brands are Crave and Compass Crave (a joint venture with Compass for party catering); it is also responsible for managing the Smart Village food court.",http://www.ticoeg.com,Middle East,2013,Food & Beverage,Food Service,"['{""name"": ""Hazem El Dalati"", ""url"": """"}', '{""name"": ""Fahed El Dalati"", ""url"": ""https://www.linkedin.com/in/fahed-el-dalati-6803b122/""}']",,,,
TPaga,Tpaga is a mobile wallet for unbanked consumers in Latin America.,https://tpaga.co/,Latin America,2017,Fintech,Payments,"['{""name"": ""Juan Salcedo"", ""url"": ""https://www.linkedin.com/in/juansalcedo/""}', '{""name"": ""Andres Gutierrez"", ""url"": ""https://www.linkedin.com/in/andres-gutierrez-8516588/""}']",,,,
TradeDepot,TradeDepot is a B2B e-commerce platform enabling retailers to order and receive consumer goods through multiple channels and finance inventory through affordable loans.,https://www.tradedepot.co/,Africa,2021,Smart City,Logistics Tech,"['{""name"": ""Michael Ukpong"", ""url"": ""https://www.linkedin.com/in/michael-ukpong-53aa834/""}', '{""name"": ""Ruke Awaritefe"", ""url"": ""https://www.linkedin.com/in/ruke-awaritefe-233156/""}', '{""name"": ""Onyekachi Izukanne"", ""url"": ""https://www.linkedin.com/in/kachizukanne/""}']",Fund III,Series B,Status: Active,Invested: 2021
Tricentis,"Tricentis offers a new way to tackle software testing, accelerating digital transformation, application delivery and cloud migration. The company’s continuous testing platform addresses both agile development and complex enterprise apps, increasing software delivery speed, reducing costs and improving quality.",https://www.tricentis.com/,U.S. & Canada,2017,Enterprise Software & Services,Cloud Infrastructure & IT,"['{""name"": ""David Keil"", ""url"": ""https://www.linkedin.com/in/david-keil-14a05118/""}']",,,,
